usn,name,email,attendance
1VE17CS001,Amelia Woolley,amelia07@gmal.com,82
1VE17CS002,Bruce Banner,brucehulk@gmail.com,84
1VE17CS003,Chandler Bing,chandlerbing123@gmail.com,89
1VE17CS004,Clifford,cliff@gmail.com,87
1VE17CS005,Danny,dan789@gmail.com,86
1VE17CS006,Eleanor Calder,eleanorj92@gmail.com,93
1VE17CS007,Gigi Hadid,gigiHadid@gmail.com,71
1VE17CS008,Harry Styles,harrystyles@gmail.com,73
1VE17CS009,Jane Foster,janie@gmail.com,85
1VE17CS010,Joey Tribbiani,joeyT@gmail.com,81
1VE17CS011,Liam Payne,liampayne@gmail.com,86
1VE17CS012,Louis Tomlinson,louist28@gmail.com,87
1VE17CS013,Maya Henry,maya_henry@gmail.com,88
1VE17CS014,Monica Geller,mongeller@gmail.com,96
1VE17CS015,Natasha Romanoff,blackwidow@gmail.com,96
1VE17CS016,Niall Horan,nialler@gmail.com,90
1VE17CS017,Phoebe Buffay,pheebs@gmail.com,76
1VE17CS018,Rachel Green,rach@gmail.com,97
1VE17CS019,Rosie Dunne,rosie@gmail.com,73
1VE17CS020,Ross Geller,rossgeller@gmail.com,76
1VE17CS021,Steve Rogers,cap@gmail.com,87
1VE17CS022,Ted,ted28@gmail.com,88
1VE17CS023,Thor,thunder_thor@gmail.com,85
1VE17CS024,Tony Stark,tonyStark@gmail.com,89
1VE17CS025,Zayn Malik,zaynmalik@gmail.com,95
